Row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
EPB41L4B,6545765.54075142,1.04361088680792,0.3093100367226189,3.8781798759002326,0.00010524089411103773,0.0007415746878335168
EPB41L5,5486856.852793848,-0.4068431206381084,0.34366091582205394,-2.1657089926196678,0.030333431430905118,0.0832973127397935
EPB42,493334.01845990226,5.651116578892331,0.763084565396208,7.718695442976507,1.1752634599580751e-14,1.2235414393426275e-12
EPB49,14769929.119023602,-4.286844483161563e-05,0.0015015690320204188,0.6347371510708587,0.5255998594031688,0.6984932494451828
EPC1,11390083.336632162,0.00014223030846971114,0.001549243383363552,1.623838280432924,0.1044103277509886,0.22079722600572496
EPC2,11519725.50490294,0.17063545915102415,0.5899846337101032,2.3444938078536643,0.019052926895473374,0.057445494237090215
EPCAM,135526109.09968176,-0.17514495020259857,0.14354686193046753,-3.7973535395567604,0.00014624913407766644,0.0009776641830473655
EPDR1,9365341.723113898,2.2870751109451657,0.44868869652419313,4.563783740351195,5.023983111436925e-06,5.4310507491351995e-05
EPG5,3907210.1615375443,2.267468857172944e-05,0.0015368211626482526,1.0931113237052201,0.27434492477216077,0.4520901235499031
EPGN,68758.81991002601,-3.7730273188410295e-07,0.0012224891277671133,-0.6844461623380164,0.49369347474559366,0.6716887903040948
EPHA1,5299894.324534464,0.00014201788367940212,0.0012902782493412193,-1.8598204555601148,0.0629109322920296,0.14920182914775262
EPHA10,883950.5936271863,-1.7684733328205486,0.5230350890356702,-4.1614717285544325,3.1620314884264556e-05,0.00026554062772321497
EPHA2,7231444.044743786,0.6107492535867127,0.45359271911071686,2.335630300716917,0.019510517951437725,0.05856288814223845
EPHA3,959084.756198156,0.9772238349255857,0.5942400928441592,2.876713101958858,0.004018407620141524,0.01598182416415088
EPHA4,2652397.0396069223,1.6583654212053927,0.32668614805676177,5.572786185147834,2.5069718494120807e-08,5.50031695638572e-07
EPHA5,29389.46507446665,4.7357522686627974e-07,0.0017023254320933316,0.7310309760340649,0.4647602327277882,0.6469964487855772
EPHA6,112755.85531831482,1.0153746813419557e-06,0.0017213251125252661,0.9326126674077898,0.3510199905902939,0.5364355813482505
